subj_id,age,gender,ethnicity,born_ch,born_ch_text,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,language_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
ch_adults_103_chickens,33,Male,Han,Yes,NA,shanghai,urban,undergraduate,no,the average level,a little poorer,neither agree nor disagree,no,Han,shanghainese,urban,some college,middle,middle,0,none
ch_adults_104_children,26,Female,Han,Yes,NA,mandarin,urban,master degree,yes,above middle class,much richer,neither agree nor disagree,no,Han,mandarin,urban,masters,upper middle,upper,0,none
ch_adults_105_dogs,26,Male,Han,Other,"Nineue Fuan, Fujian province",mandarin,urban,undergraduate,yes,low and middle level,much poorer,neither agree nor disagree,none,Han,mandarin,urban,some college,middle,middle,0,none
ch_adults_106_flowers,29,Male,Han,Other,"Changning district, Shanghai",shanghai,urban,bachelor's degree,yes,working class,about the same,neither agree nor disagree,none,Han,shanghainese,urban,bachelors,lower/working class,lower,0,none
ch_adults_107_ghosts,26,Female,Han,Other,"Changning, Shanghai",shanghai,urban,undergraduate,yes,salariat,about the same,neither agree nor disagree,no,Han,shanghainese,urban,some college,middle,middle,0,none
ch_adults_108_god,85,Female,Han,Yes,NA,shandong,rural,uneducated,yes,ordinary,a little poorer,disagree,none,Han,shandong,rural,less than high school,middle,middle,-1,none
ch_adults_109_mice,50,Female,Han,Other,"Jingan district, Shanghai",shanghai,urban,bachelor's degree,yes,middle class and the above,a little richer,neither agree nor disagree,no,Han,shanghainese,urban,bachelors,upper middle,upper,0,none
ch_adults_110_rocks,57,Male,Han,Other,"Hefei, Anhui",mandarin,urban,bachelor's degree,yes,upper middle class,a little richer,neither agree nor disagree,no,Han,mandarin,urban,bachelors,middle,middle,0,none
ch_adults_111_cellphones,48,Female,Han,Other,"Nanyong, Henan",henan,rural,junior high school,yes,the average level,much poorer,strongly agree,christianity,Han,henan,rural,less than high school,middle,middle,2,christian
ch_adults_112_chickens,31,Male,Han,Yes,NA,jiangsu,rural,senior high school,yes,the average level,a little poorer,neither agree nor disagree,none,Han,jiangsu,rural,high school,middle,middle,0,none
ch_adults_113_children,21,Female,Han,Yes,NA,"mandarin, shanghai",urban,junior college,no,middle level,about the same,neither agree nor disagree,no,Han,shanghainese,urban,other college degree,middle,middle,0,none
ch_adults_114_dogs,29,Male,Han,Yes,NA,zhejiang and mandarin,urban,undergraduate,yes,a moderate level,much poorer,neither agree nor disagree,no,Han,mandarin,urban,some college,middle,middle,0,none
ch_adults_115_flowers,53,Male,Han,Yes,NA,shanghai,rural,junior high school,yes,"not bad, a little wealthy",about the same,agree,no,Han,shanghainese,rural,less than high school,upper middle,upper,1,none
ch_adults_116_ghosts,27,Male,Han,Other,"Shenzhen, Guangdong",southern fujian,rural,special technical secondary school,yes,the general level,a little poorer,neither agree nor disagree,buddhism,Han,southern fujian,rural,trade/certificate,middle,middle,0,buddhist
ch_adults_117_god,26,Female,Han,Other,"Taizhou city, Jiangsu province","jiangsu, mandarin",rural,bachelor's degree,yes,the average level,a little poorer,agree,buddhism,Han,mandarin,rural,bachelors,middle,middle,1,buddhist
ch_adults_118_mice,42,Female,Han,Other,"Liamyungang, Jiansu",jiangsu,urban,bachelor's degree,yes,the average level,about the same,neither agree nor disagree,no,Han,jiangsu,urban,bachelors,middle,middle,0,none
ch_adults_119_rocks,36,Female,Han,Other,"Jingan, Shanghai","shanghai, mandarin",urban,bachelor's degree,yes,middle class,about the same,neither agree nor disagree,none,Han,shanghainese,urban,bachelors,middle,middle,0,none
ch_adults_120_crickets,38,Male,Han,Other,"Wanzhou, Chongqing",sichuan,rural,special technical secondary school,yes,the middle level,about the same,agree,buddhism,Han,sichuan,rural,trade/certificate,middle,middle,1,buddhist
ch_adults_121_rocks,20,Female,Han,Yes,NA,"shanghai, mandarin",urban,bachelor,no,middle,about the same,neither agree nor disagree,none,Han,shanghainese,urban,bachelors,middle,middle,0,none
ch_adults_122_flowers,47,Male,Han,No,Shaoxing,shaoxing,rural,phd,yes,middle,a little richer,disagree,none,Han,shaoxing,rural,phd,middle,middle,-1,none
ch_adults_123_cellphones,33,Female,Han,No,Shouxian,shouxian,urban,bachelor,yes,well to do,a little richer,agree,buddhism,Han,shouxian,urban,bachelors,upper,upper,1,buddhist
ch_adults_124_crickets,20,Male,Han,Yes,"Shanghai, Zengxian",mandarin chinese,urban,undergraduate,no,rich,about the same,strongly disagree,none,Han,mandarin,urban,some college,upper,upper,-2,none
ch_adults_125_crickets,56,Female,Han,Yes,"Shanghai, Yangpu",shanghainese,urban,senior high school,yes,moderate,about the same,neither agree nor disagree,none,Han,shanghainese,urban,high school,middle,middle,0,none
ch_adults_126_chickens,50,Female,Han,Yes,"Shanghai, Zhabei District",shanghainese,urban,bachelor's degree,yes,middle class,about the same,agree,buddhism,Han,shanghainese,urban,bachelors,middle,middle,1,buddhist
ch_adults_127_mice,44,Female,Han,Yes,"Shanghai, Fengxian",locals and mandarin,rural,junior college,yes,moderate,about the same,neither agree nor disagree,none,Han,mandarin,rural,other college degree,middle,middle,0,none
ch_adults_128_dogs,30,Male,Han,No,"Anhui, Hefei",dialect,rural,senior high school,yes,moderate,a little poorer,neither agree nor disagree,none,Han,local dialect,rural,high school,middle,middle,0,none
ch_adults_129_children,22,Female,Han,No,"Huauhua, Hunan",hunan,rural,bachelor's degree,yes,above average,a little poorer,disagree,none,Han,hunan,rural,bachelors,upper middle,upper,-1,none
ch_adults_130_ghosts,61,Male,Han,No,"Inner mongolia, China",mandarin,rural,primary school,yes,salariat and poorer people,much poorer,disagree,none,Han,mandarin,rural,less than high school,middle,middle,-1,none
ch_adults_131_dogs,45,Male,Han,Yes,NA,nuyang,rural,bachelor's degree,yes,good,about the same,neither agree nor disagree,none,Han,nuyang,rural,bachelors,upper,upper,0,none
ch_adults_132_flowers,38,Male,Han,Yes,NA,shanghai,urban,bachelors degree,no,poor,a little poorer,disagree,missing data,Han,shanghainese,urban,bachelors,NA,NA,-1,NA
ch_adults_133_ghosts,45,Male,Han,Yes,NA,xinshao,rural,master's degree,yes,good,a little richer,disagree,mdata,Han,xinshao,rural,masters,upper,upper,-1,NA
ch_adults_134_god,43,Female,Han,Yes,NA,xi'an,missing data,college degree,yes,good,a little richer,disagree,mdata,Han,xi'an,NA,bachelors,upper,upper,-1,NA
ch_adults_135_mice,36,Female,Han,Yes,NA,xiangtan,rural,college degree,yes,decent,much poorer,neither agree nor disagree,missing data,Han,xiangtan,rural,bachelors,middle,middle,0,NA
ch_adults_136_rocks,44,Female,Han,Yes,NA,hubei,rural,bachelor's degree,yes,good,about the same,neither agree nor disagree,none,Han,hubei,rural,bachelors,upper,upper,0,none
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
