subj_id,age,gender,ethnicity,born_us,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
us_adults_021_flowers,20,F,asian,no,"mandarin, english",urban,2 yr college,yes,middle,about the same,agree,no,east asian,urban,other college degree,middle,middle,1,none
us_adults_022_ghosts,32,F,caucasian,yes,english,rural,masters,yes,middle,a little richer,agree,no,white,rural,masters,middle,middle,1,none
us_adults_023_god,29,F,asian,yes,english,urban,bachelors,yes,middle,about the same,agree,christian,east asian,urban,bachelors,middle,middle,1,christian
us_adults_024_mice,49,M,african american,yes,english,suburban,bachelors,yes,middle,about the same,strongly agree,christian,black,suburban,bachelors,middle,middle,2,christian
us_adults_025_rocks,32,F,biracial,yes,english,urban,high school,yes,upper middle,a little poorer,neither agree nor disagree,no,multiple,urban,high school,upper middle,upper,0,none
us_adults_026_beetles,35,M,caucasian,yes,english,urban,bachelors,yes,low middle class,a little poorer,strongly disagree,no,white,urban,bachelors,lower middle,lower,-2,none
us_adults_027_cellphones,57,M,caucasian,yes,english,urban,high school,yes,lower middle,a little poorer,agree,no,white,urban,high school,lower middle,lower,1,none
us_adults_028_children,24,M,middle eastern,no,"arabic, english",urban,college,yes,lower,about the same,agree,muslim,middle eastern,urban,some college,lower/working class,lower,1,muslim
us_adults_029_dogs,27,M,caucasian,yes,english,urban,some college,yes,mixed,a little poorer,strongly agree,no,white,urban,some college,NA,NA,2,none
us_adults_030_flowers,56,F,caucasian,yes,english,urban,bachelors,yes,upper middle,about the same,strongly agree,lutheran,white,urban,bachelors,upper middle,upper,2,christian
us_adults_031_ghosts,61,F,caucasian,yes,english,urban,bachelors,yes,middle,about the same,neither agree nor disagree,no,white,urban,bachelors,middle,middle,0,none
us_adults_032_god,28,F,"european, caucasian",yes,english,rural,bachelors,yes,upper middle,about the same,disagree,no,multiple,rural,bachelors,upper middle,upper,-1,none
us_adults_033_mice,25,F,"spanish, mexican",no,"spanish, english",suburban,bachelors,yes,upper middle,about the same,agree,catholic,multiple,suburban,bachelors,upper middle,upper,1,christian
us_adults_034_rocks,18,M,caucasian,yes,english,rural,high school,yes,upper middle,about the same,agree,no,white,rural,high school,upper middle,upper,1,none
us_adults_035_beetles,31,M,african american,yes,english,rural,bachelors,yes,lower,a little richer,strongly agree,no,black,rural,bachelors,lower/working class,lower,2,none
us_adults_036_cellphones,23,F,black and white,yes,"german, english",urban,some college,yes,middle,about the same,disagree,no,multiple,urban,some college,middle,middle,-1,none
us_adults_037_chickens,70,F,anglo,yes,english,rural,missing data,yes,upper middle,a little poorer,agree,no,white,rural,NA,upper middle,upper,1,none
us_adults_038_dogs,72,F,caucasian,yes,english,suburban,masters,yes,upper middle,about the same,neither agree nor disagree,christian,white,suburban,masters,upper middle,upper,0,christian
us_adults_039_flowers,33,F,caucasian,yes,english,urban,some college,no,upper,much poorer,strongly agree,no,white,urban,some college,upper,upper,2,none
us_adults_040_ghosts,27,F,missing data,yes,missing data,missing data,general ed,no,middle,a little poorer,NA,missing data,NA,NA,other college degree,middle,middle,NA,NA
us_adults_041_god,60,F,caucasian,yes,"english, spanish",urban,trade school,no,upscale,a little poorer,neither agree nor disagree,all religions,white,urban,trade/certificate,upper,upper,0,multiple
us_adults_042_mice,20,F,asian,no,"japanese, english",urban,high school,no,upper middle,a little poorer,disagree,no,east asian,urban,high school,upper middle,upper,-1,none
us_adults_043_rocks,24,M,caucasian,yes,english,rural,bachelors,yes,upper,a little poorer,agree,no,white,rural,bachelors,upper,upper,1,none
us_adults_044_beetles,50,M,"caucasian, middle eastern",yes,english,rural,2 masters,yes,upper middle,a little richer,agree,judaism,multiple,rural,masters,upper middle,upper,1,jewish
us_adults_045_cellphones,32,M,caucasian,yes,"turkish, german, english",urban,masters,yes,upper,about the same,disagree,no,white,urban,masters,upper,upper,-1,none
us_adults_046_chickens,40,F,caucasian,yes,english,rural,bachelors,no,upper middle,a little poorer,agree,no,white,rural,bachelors,upper middle,upper,1,none
us_adults_047_children,35,M,middle eastern,yes,"farsi, english",urban,bachelors,yes,middle,about the same,strongly disagree,no,middle eastern,urban,bachelors,middle,middle,-2,none
us_adults_048_flowers,21,F,"black, mexican",yes,english,rural,ged,yes,middle,about the same,agree,christianity,multiple,rural,ged,middle,middle,1,christian
us_adults_049_ghosts,35,F,"hispanic, native american",yes,english,urban,bachelors,yes,middle,a little poorer,strongly agree,no,multiple,urban,bachelors,middle,middle,2,none
us_adults_050_god,26,F,"filipino, caucasian",yes,english,urban,bachelors,yes,middle,about the same,strongly agree,roman catholic,multiple,urban,bachelors,middle,middle,2,christian
us_adults_051_mice,43,M,hispanic,yes,english,urban,Tech school,yes,lower middle,about the same,agree,no,hispanic/latino,urban,trade/certificate,lower middle,lower,1,none
us_adults_052_rocks,20,F,caucasian,yes,english,urban,some college,yes,middle,about the same,strongly agree,christian,white,urban,some college,middle,middle,2,christian
us_adults_053_beetles,21,M,caucasian,yes,english,urban,high school,yes,middle,a little poorer,strongly disagree,no,white,urban,high school,middle,middle,-2,none
us_adults_054_cellphones,41,F,"caucasian, filipino",yes,english,urban,11th grade,no,middle,a little poorer,agree,no,multiple,urban,some high school,middle,middle,1,none
us_adults_055_chickens,59,M,caucasian,yes,english,urban,associates,somewhat,middle,a little poorer,strongly agree,christianity,white,urban,associates,middle,middle,2,christian
us_adults_056_children,25,M,middle eastern,yes,english,urban,2nd year college,yes,middle,a little poorer,neither agree nor disagree,no,middle eastern,urban,some college,middle,middle,0,none
us_adults_057_dogs,25,M,caucasian,yes,english,urban,high school,yes,middle,a little poorer,neither agree nor disagree,no,white,urban,high school,middle,middle,0,none
